title,price,location
CHUWI 11.6'' Laptop Computer PC Windows 10 Home PC 2.8GHz 4GB 128GB HD WIFI,$179.99,from United States
Dell Laptop Latitude Intel i5 16GB RAM 1TB HDD WIFI HDMI Windows 10 Pro PC,$209.95 to $429.95,from United States
"HP Chromebook 14-SMB 14"" Laptop Intel Celeron 2GB RAM 16GB eMMC",$47.98,from United States
"HP ProBook 4430s 14"" Laptop Computer PC Celeron 8GB Ram 500GB HD WiFi Windows 10",$159.99,from United States
"Lenovo Legion 5 17.3"" 144Hz Gaming Laptop R5-5600H 16GB RAM 1TB SSD RTX 3060",$999.99,from United States
"Dell Chromebook 11 3189 11.6"" 2in1 Touchscreen Intel 1.6GHz 4GB 32GB SSD Laptop",$59.00,from United States
"Dell Inspiron 13 5310 Laptop 13.3"" FHD+ Intel i5-11320H 512GB SSD 16GB Win11",$579.00,from United States
Dell latitude Business Gaming Laptop Intel I5 6th Quad Core 3.0 32GB  2TB SSD,$257.00 to $630.00,from United States
"New ListingLenovo ThinkPad T520, i5-2520 @ 2.5GHz, 8GB ram, 320GB HD, Win10 Pro (4-5-1)",$16.50,from United States
2021 HP Chromebook 14 Laptop (Intel N4000/4GB RAM/32GB/slim bezel/light weight),$99.99,from United States
HP 17.3 inch TOUCHSCREEN 12GB 6-Core AMD Ryzen 5 5500U 1TB HDD Laptop Windows 11,$529.49,from United States
Lenovo Thinkpad X1 Carbon 6th Gen i5-8350U 16GB Ram 256GB SSD FHD Good Condition,$499.99,from United States
"HP Laptop ProBook 4430s 14"" Computer Celeron 8GB Ram 1TB Wi-Fi Bluetooth Win 10",$184.99,from United States
"HP Laptop ProBook 4430s 14"" Computer Celeron 4GB Ram 500GB WiFi HDMI Windows 10",$149.99,from United States
"ASUS L210 11.6in Ultra thin Laptop (Intel Celeron N4020, 4GB RAM, 64GB Storage)",$139.00,from United States
"HP Chromebook 14 Laptop Computer 14"" Intel Celeron 16GB SSD WiFi HDMI Webcam",$89.99,from United States
"New ListingDell Inspiron 5570 Intel Core i5-8250U 1.60GHz, 12GB RAM, 250GB SSD Laptop",$96.00,from United States
MSI GF65 Thin 15.6 144Hz Gaming Laptop Intel Core i5 16GB RAM 512GB SSD RTX 3060,$789.99,from United States
"New ListingHP Envy 17, i7-7500U @ 2.9GHz, 8GB ram, 1TB HD, Win10 Pro (4-5-10)",$15.50,from United States
"Dell Gaming laptop Intel E6530 i7 3720QM 8G 256GB SSD HDD 15.6"" FHD Win 10 PRO",$259.99,from United States
HP 14 Series Touchscreen Laptop Intel Celeron N4020 4GB RAM 64GB eMMC Snow White,$249.99,from United States
New ListingDell Precision 7520 2.70GHz i7 6820HQ 32GB 256 M.2 + 960SSD Win10 UTS0093847,$300.00,from United States
New ListingDell XPS 13 7390 - Intel i7-8565U 1.80GHZ - 1TB NVMe - 16GB RAM - Windows 11 Pro,$9.50,from United States
"New ListingDell Latitude E7440 14"" i7, 2.1GHz, 16GB RAM 1TB SSD Laptop",$450.00,from United States
"New ListingAsus VivoBook X510UAR 15.6"" Intel Core i5-8250U 1.8GHz 8GB RAM 1TB HDD W10H",$340.00,from United States
"Lenovo ThinkPad X230 i3-3110M 2 x 2, 4 GHz 4 GB 320 GB UMTS Cam Win10Pro B-stock",$158.61,from Germany
MSI Crosshair 15 15.6 144Hz Gaming Core i7-11800H 16GB RAM 1TB SSD RTX 3060 6GB,"$1,099.99",from United States
"New ListingLenovo ThinkPad W520, i7-2720QM @ 2.2GHz, 8GB ram, 500GB HD, Win10 Pro (4-5-11)",$6.50,from United States
"Dell Laptop Computer Latitude 3330 13.3"" PC Windows 10 Intel 4GB Ram 320GB HDMI",$154.99,from United States
"Dell Latitude E6400 Laptop 14"" Intel Core2Duo 2.26GHz 2GB RAM 160GB Windows 7",$89.95,from United States
NEW Gateway (Acer) 15.6 FHD Intel 128GB SSD 4GB RAM+ Office 365 + Mouse Bundle,$229.99,from United States
New ListingDell Latitude E7470 Intel core i5-6300u 2.40GHz 16/8GB RAM 256GB SSD W/ Wind 10,$199.00 to $299.00,from United States
"New ListingMicrosoft Surface Pro 4 12.3"" Intel Core i5-6300U 2.5GHz 8GB RAM 256GB SSD W10P",$260.00,from United States
