,title,price,location
0,Microsoft Surface Pro 5 LTE | i5-7300u | 256GB SSD 8GB RAM | KEYBOARD OPTIONAL,$449.99 to $649.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
1,Dell Laptop Latitude Intel i5 16GB RAM 1TB HDD WIFI HDMI Windows 10 Pro PC,$209.95 to $429.95,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
2,"Dell Chromebook 11 3189 11.6"" 2in1 Touchscreen Intel 1.6GHz 4GB 32GB SSD Laptop",$59.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
3,"HP Chromebook 14-SMB 14"" Laptop Intel Celeron 2GB RAM 16GB eMMC",$47.98,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
4,"Lenovo Legion 5 17.3"" 144Hz Gaming Laptop R5-5600H 16GB RAM 1TB SSD RTX 3060",$999.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
5,"Dell Inspiron 13 5310 Laptop 13.3"" FHD+ Intel i5-11320H 512GB SSD 16GB Win11",$579.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
6,"HP Laptop ProBook 4430s 14"" Computer Celeron 8GB Ram 1TB Wi-Fi Bluetooth Win 10",$184.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
7,Dell latitude Business Gaming Laptop Intel I5 6th Quad Core 3.0 32GB  2TB SSD,$257.00 to $655.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
8,HP 17.3 inch TOUCHSCREEN 12GB 6-Core AMD Ryzen 5 5500U 1TB HDD Laptop Windows 11,$529.55,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
9,Lenovo Thinkpad X1 Carbon 6th Gen i5-8350U 16GB Ram 256GB SSD FHD Good Condition,$499.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
10,"ASUS L210 11.6in Ultra thin Laptop (Intel Celeron N4020, 4GB RAM, 64GB Storage)",$139.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
11,"New ListingMicrosoft Surface Go 10.5"" (128GB SSD, Intel Core M3, 1.1GHz, 8GB RAM)",$199.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
12,HP 14 Series Touchscreen Laptop Intel Celeron N4020 4GB RAM 64GB eMMC Snow White,$249.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
13,"HP Chromebook 14 Laptop Computer 14"" Intel Celeron 16GB SSD WiFi HDMI Webcam",$89.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
14,"Dell Laptop Computer Latitude 3330 13.3"" PC Windows 10 Intel 4GB Ram 320GB HDMI",$154.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
15,"Dell Latitude E6400 Laptop 14"" Intel Core2Duo 2.26GHz 2GB RAM 160GB Windows 7",$89.95,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
16,"Dell Gaming laptop Intel E6530 i7 3720QM 8G 256GB SSD HDD 15.6"" FHD Win 10 PRO",$259.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
17,New Listinghp spectre 13,$229.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
18,New ListingDELL LATITUDE E5470 i5-6300 2.4GHz 8GB RAM 2133Mhz 500GB HDD WIN 10 Pro (490),$175.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
19,New ListingDell Latitude 5290 2-in-1 CORE I5-8350U 1.70GHz 8gb RAM 256G SSD Win10p Touch,$220.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
20,New ListingASUS Zenbook UX533FD i7-8565U 1.80ghz 16gb RAM 1TB SSD GTX1050MaxQ UHD620,$240.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
21,LOADED Panasonic Toughbook CF-31 i5 2.4ghz 8GB 120GB SSD Touch Rugged Windows 11,$329.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
22,New ListingLenovo ThinkPad T540p Intel Core i7-4600 2.9GHz 16GB RAM 256GB SSD Win 10 Pro,$289.97,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
23,MSI Crosshair 15 15.6 144Hz Gaming Core i7-11800H 16GB RAM 1TB SSD RTX 3060 6GB,"$1,099.99","<span class=""s-item__location s-item__itemLocation"">from United States</span>"
24,"New ListingAcer Aspire E5-575 Laptop 15.6"" Core i3-7100U 4GB RAM 1TB HDD FULL HD Intel UHD",$60.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
25,"Lenovo ThinkPad Laptop Computer 11.6"" 4GB RAM 320GB HDD Windows 10 HDMI Webcam",$104.98,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
26,"12GB Powerful HP Laptop 17.3"" FHD Intel Core i5-1135G 4.20GHz 1TB HDD Windows 11",$539.24,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
27,New ListingASUS ZENBOOK 14 Q407I RYZEN 5 4500u NVIDIA MX350 8GB RAM 256 NVME SSD LAPTOP,$199.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
28,NEW Gateway (Acer) 15.6 FHD Intel 128GB SSD 4GB RAM+ Office 365 + Mouse Bundle,$229.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
29,Lenovo T460 - Core i5 @ 2.4GHz - 8GB RAM - 256GB SSD - Webcam - Windows 10 Pro,$240.00,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
30,"Microsoft Surface Pro 4 1724, Intel Core i5, 8GB RAM, 250GB SSD",$299.99,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
31,Dell Latitude E5470 i5-6300U 2.40GHz 256GB M.2 8GB RAM 1600x900 Win 10 (Z3E2),$208.95,"<span class=""s-item__location s-item__itemLocation"">from United States</span>"
32,"Lenovo ThinkPad X230 i3-3110M 2 x 2, 4 GHz 4 GB 320 GB UMTS Cam Win10Pro B-stock",$160.03,"<span class=""s-item__location s-item__itemLocation""><span class=""ITALIC"">from Germany</span></span>"
