title,price,location
"Dell Chromebook 11 3189 11.6"" 2in1 Touchscreen Intel 1.6GHz 4GB 32GB SSD Laptop",$59.00,from United States
NEW Gateway (Acer) 15.6 FHD Intel 128GB SSD 4GB RAM+ Office 365 + Mouse Bundle,$229.99,from United States
"Dell Chromebook 3120 11.6"" 11 Laptop Intel Celeron N2840 2.16GH 16GB SSD 4GB RAM",$49.95,from United States
"Lenovo Notebook PC Laptop 15,6""amd a6, RAM 8gb SSD 256gb, Windows 11 Pro",$371.90,from Italy
"New ListingMicrosoft Surface Pro 7 12.3"" 128GB Intel Core i5 10th Gen 8GB RAM Laptop ...",$369.00,from United States
"Lenovo ThinkPad T460 Intel i5-6300U 3,0GHz 8GB 256SSD 14""FHD 1920x1080 WIN10",$305.18,from Germany
Lenovo Thinkpad X1 Carbon 6th Gen i5-8350U 16GB Ram 256GB SSD FHD Good Condition,$499.99,from United States
"Dell Business Latitude 7480 14"" AG (Intel Core i5 6300U, 256GB SSD, 8GB DDR4)",$345.69,from Canada
"New ListingLenovo Laptop Laptop Notebook 15.6"", RAM 8gb, 256gb SSD, Windows 11",$141.11,from Italy
"Acer E1-532, Intel 2955U, 4 GB DDR3L, 500 GB HDD, Win10",$86.41,from Germany
"New ListingDell Latitude E6420 Core i5-2410M 2.30GHz 4GB RAM 160 hd 14""",$125.00,from United States
Acer E3,$65.63,from Germany
"New ListingDell Latitude E7450/ i7 5th gen 2.6ghz/ 16GB mem/ 14"" Display/240GB SSD/Win 10 p",$225.00,from United States
HP 17.3 inch TOUCHSCREEN 12GB 6-Core AMD Ryzen 5 5500U 1TB HDD Laptop Windows 11,$529.49,from United States
New ListingDell Latitude E7470 Intel core i5-6300u 2.40GHz 16/8GB RAM 256GB SSD W/ Wind 10,$199.00 to $299.00,from United States
"Notebook PC Laptop Intel n4000 15,6"" FHD RAM 8gb SSD m2 SATA 256gb Windows 11",$357.09,from Italy
New ListingJob Lot 5x Random Laptops Untested & 2 Xbox,$65.65,from United Kingdom
New ListingAcer aspire laptop (Core i3 4gb),$65.65,from United Kingdom
New ListingDELL XPS 13 9350 TOUCHSCREEN QHD+ CORE i7 6560U 16GB 512GB SSD WINDOWS 10 PRO.,$362.16,from Australia
"New ListingLenovo IdeaPad Flex 5, 16GB Ram, 512GB SSD, AMD Ryzen 7 CPU,  Win 10 OS",$350.00,from United States
New Listing&#128293; promo hp pavilion gamer-gtx 1660 ti-i7-10750h - 16go ram - 512go ssd &#128293;,$655.22,from France
"New ListingMicrosoft Surface Pro X 13"" Touch (256GB SSD, Microsoft SQ1, 3.00 GHz, 16GB RAM)","$1,043.87",from United Kingdom
"New ListingAsus VivoBook X510UAR 15.6"" Intel Core i5-8250U 1.8GHz 8GB RAM 1TB HDD W10H",$340.00,from United States
"HP EliteBook G2 14"" Touch UltraBook (Intel 5th Gen i5-5200U, 256GB SSD, 8GB RAM)",$274.94,from Canada
"New ListingChromebook Lenovo 300e AMD 4gb RAM 32gb ROM 11,6 HD Touchscreen",$152.05,from Italy
"New ListingDell Latitude E7450 14"" (256 GB SSD, Intel Core i7-5600U, 2.60 GHz, 8GB RAM)...",$28.00,from United States
New Listinghp Laptop Ryzen 7 Model:  15s-eq1516sa,$262.61,from United Kingdom
New ListingLenovo T540p ™Intel ®Core™i5~SSD~8GB•15.6”LED•WINDOWS 11 Pro~USB 3.0~WiFi#200#8,$304.22,from Australia
"12GB Powerful HP Laptop 17.3"" FHD Intel Core i5-1135G 4.20GHz 1TB HDD Windows 11",$533.27,from United States
New ListingLenovo Ideapad 330 - AMD Ryzen 3 8gb DDR4 ram 240gb SSD Gaming laptop,$249.47,from United Kingdom
New ListingHP 15-ba009dx AMD A6-7310 4gb RAM 500gb HDD Windows 10 Laptop Black,$112.00,from United States
HP Chromebook 14 Laptop Intel 2955U 1.4GHz 4GB DDR3 16GB SSD WIFI Chrome OS HDMI,$69.95,from United States
Laptop i5-1035g1 12gb RAM 256gb SSD 15.6 w11 Pro Lenovo pn:82c500g8ix,$502.08,from Italy
Lenovo S 206 Windows 7,$75.48,from Germany
"New ListingFramework laptop  i7-1185G7, 32gb Ram, 1TB SSD",$900.00,from United States
New ListingTöuch Lenovo X230 +PEN Tablet ™intel™Core i5•500 GB•8GB•WINDOWS10Pro•WiFi#1995,$128.85,from Australia
"LG 17Z90P-K.AA55A8 Gram 17"" WQXGA i5-1135G7 2.4GHz Intel Iris Xe Graphics 16GB",$680.85,from Canada
Laptop HP EliteBook 820 g2 Intel Core ™ i5-5300u RAM 8gb 240ssd Win 10,$295.33,from Italy
"Dell Gaming laptop Intel E6530 i7 3720QM 8G 256GB SSD HDD 15.6"" FHD Win 10 PRO",$259.99,from United States
CHUWI HeroBook Pro Windows10 Laptop 14.1''1920x1080 8+256G Intel N4020 Computer,$296.99,from United States
"New ListingSamsung Galaxy Book Pro 360 5G 13.3"" FHD Touchscreen (Intel Core i5-1135G7, 8GB",$820.66,from United Kingdom
"New ListingDell inspiron 17 7000 2 in 1 Intel Core i7 8th Gen, 16GB DDR4 RAM 500GB Nvidia",$162.50,from United States
"New ListingDell XPS 15 9510 15.6"" (1TB SSD, Intel Core i7 10th Gen., 5.00 GHz, 16GB) Laptop","$1,181.75",from United Kingdom
"HP Pro x2 612 G2 12"" Tablet 2 - in - 1 i5-7Y57 8G 256Gb Win10 + DE Keyboard",$273.45,from Germany
"New ListingDell Latitude E7450/ i7 5th gen 2.6ghz/ 14""display/16GB mem/240GB ssd/Win 10 pro",$230.00,from United States
New ListingAPPLE-MACBOOK AIR ROSE GOLD-A1932-2019-8GB-128GB-13''- Intel Core i5@1.6GHz,$590.87,from United Kingdom
New ListingHP laptop amd 3020e 16gb RAM 256gb SSD 15.6 w11 Pro pn:2w1d4ea,$381.75,from Italy
"New ListingAcer Chromebook 15.6"" (16GB eMMC, Intel Celeron N3060, 1.6GHz, 4GB RAM) Laptop -",$50.00,from United States
New ListingAcer Aspire R3 Series Laptop/Notebook - Dual Core - 4GB RAM - 32GB SSD - Win 10,$65.65,from United Kingdom
New ListingAcer Aspire One Laptop Notebook 10.1 inch screen Window 10 Pro 2 Gb Ram 160 Gb,$45.94,from United Kingdom
Lenovo ThinkPad T460 Laptop Computer Windows 10 PC Intel Core i5 B v.WAA,$259.99 to $429.99,from United States
"New ListingAlienware Laptop M14xR2 Intel Core i7 2.30 Ghz, 8 GB Ram, 298 GB HD",$133.00,from United States
New ListingLenovo ThinkPad 1st Gen X1 Yoga 14 Touch  i7-6600U 256GB SSD 16GB RAM Win 11 PRO,$275.00,from United States
HP laptop amd 3020e 8gb RAM 256gb SSD 15.6 w11 Pro pn:2w1d4ea,$355.50,from Italy
New ListingAlienware 15 R3 15.6”Gaming Laptop. 16GB RAM  Intel(R)Core i7-7700HQ,$514.65,from Australia
"New ListingLibreboot Thinkpad T400 (SeaBIOS + Grub) 320GB HDD, 4GB RAM, 2.53GHz Latest 2021",$259.00,from United States
New ListingPANASONIC CF-31 TOUGHBOOK 8GB 11580 HOURS I5-5300U CF-3112-01CM   READ!!!!,$149.99,from United States
"2022 HP 15.6"" FHD Screen Laptop AMD Ryzen 5 5500U,Upto 4.0 GHz,32GB RAM& 1TB SSD",$529.00 to $709.00,from United States
"New ListingLibreboot Thinkpad T400 (SeaBIOS + Grub) 4GB RAM, 2.26GHz, Latest 2021",$199.00,from United States
"New ListingLenovo IdeaPad 1 Slim 11.6"" HD Intel N4020, 4GB, 64GB SSD Win10 BLUE Laptop A",$227.16,from United Kingdom
"Cosmos Pyxis 15.6"" Windows 11 Laptop Intel® Celeron® Dual-Core Processor Bundle",$262.60,from United Kingdom
samsung laptop,$52.52,from United Kingdom
"2022 HP 17.3"" FHD Screen i3-1115G4 ( i5-1035G4),Upto 4.10 GHz,32GB RAM & 1TB SSD",$499.00 to $729.00,from United States
CHUWI 14'' Dual Core Laptop PC 2.8Ghz Intel N4020 8+128/256G Windows 10 Notebook,$189.99 to $284.99,from United States
New ListingNew HP Laptop EliteBook 850 G7 1C9H8UT#ABA Intel Core i5 10th Gen 10310U 1.70GHz,"$1,249.99",from United States
New ListingHP EliteBook 8470P Core i5 3320M 8 GB 1TB (2x 500GB) HDD!,$129.00,from United States
ASUS 14 FHD ExpertBook B9 Intel i7-1165G7 4.7GHz 2TB SSD 32GB RAM Windows 10 Pro,"$1,279.99",from United States
"New ListingLenovo ThinkPad X1 20UB001FUS 14"" Touchscreen Laptop i5-10210U 8GB 256GB SSD","$1,049.99",from United States
"New ListingAcer TravelMate P645 I5 5200U WEBCAM WIFI BT HDMI 14"" WIN 10",$131.14,from Australia
"New ListingLenovo IdeaPad 1 Slim 11.6"" HD Intel N4020, 4GB, 64GB SSD Win10 GREY Laptop A",$234.56,from United Kingdom
New ListingLot of (3) Dell Latitude E7470 Laptops 2.40GHz Core i7-6600U PARTS OR REPAIR,$199.99,from United States
New ListingGetac Rugged Tablet F110 G2 2.2GHz Core i5-5200U 256GB/4GB Windows 10 Pro webcam,$400.00,from Spain
New ListingBoxed Hp envy Gaming Laptop 500GB SSD HD win 11,$439.87,from United Kingdom
"15.6"" difinity Laptop Intel Quad 4x2.20GHz 8GB DDR4 256GB SSD Windows 10",$328.05,from Germany
New ListingHP EliteBook 840 G4 - i7-7500U 2.70GHz - 16GB RAM - 500GB SATA - W10P,$299.99,from United States
New ListingBoxed Dell Latitude 5320 13.3 Inch Laptop,$459.55,from United Kingdom
New ListingDell latitude 5520,"$1,039.16",from France
Windows7 Ultimate install Disk (64bit),$7.87,from United Kingdom
"New ListingHuawei MateBook 13 2K IPS Ryzen 5-3500U, 8GB, 512GB SSD, Backlit, Win10 Laptop A",$703.71,from United Kingdom
"New ListingHP EliteBook 840 G5 14"" FHD - Intel i5-8250U 1.60GHz - 8GB RAM 256GB SSD W10 Pro",$349.00,from United States
New ListingPANASONIC CF-31 TOUGHBOOK 8GB 7120 HOURS I5-5300U CF-3112-01CM    READ!!!!!,$149.99,from United States
New ListingPANASONIC CF-31 TOUGHBOOK 8GB 14460 HOURS I5-5300U CF-3112-01CM,$149.99,from United States
"New ListingNEW ASUS Vivobook 15.6""TOUCHSCREEN Intel Core i3-1115G4 3.4GHz 256GB SSD 8GB RAM",$499.99,from United States
New ListingDell Precision 5520 i7-7820HQ 2.9GHz 16GB ram 256GB SSD 4K TOUCH Office Win10,$400.00,from United States
New ListingPANASONIC CF-31 TOUGHBOOK 8GB 11580 HOURS I5-5300U CF-3112-01CM   READ!!!!,$149.99,from United States
New ListingWindows10 Disk (64bit),$7.87,from United Kingdom
"New ListingNEW Samsung GalaxyBook Go 14"" Snapdragon 7c 2.55GHz 128GB eMMC 4GB RAM WIN10",$289.99,from United States
"New ListingLaptop HP EliteBook 840 g7 Intel Core i5 16gb RAM, 256 SSD HD 14""",$765.70,from Italy
"17.3"" difinity Laptop Intel Quad 4x2.20GHz 8GB DDR4 512GB SSD Windows 11",$437.43,from Germany
"New ListingDell XPS 15 9510 15.6"" FHD Laptop Intel I9 NVIDIA RTX 3050 16 GB RAM 1TB SSD","$1,750.00",from United States
"Dell Vostro 3550 Laptop, Intel Core i3, 3GB RAM, 250 GB HD, Windows 10, PC, 15.6",$65.64,from United Kingdom
Dell Latitude 7490 Intel Core i7 8th Gen 4.2GHz 64GB RAM 2TB SSD Webcam DVD+RW,"$470.00 to $1,110.00",from United States
New ListingSony Vaio VGN P50 P Series Lifestyle UMPC Intel Z520 1.33GHz 80GB 1GB WINDOWS 7,$280.00,from United States
New ListingLenovo ThinkPad T430s i5-3320M 2.60GHz 8GB RAM 128 GB SSD Win 10Pro Office Pro,$145.00,from United States
"New ListingHP Zbook Fury 17 G7 17.3"" (256GB SSD, Intel Core i5 10th Gen. 8gb Ram","$1,005.00",from United States
Notebook - Lenovo (AMD A4-9125/8GB RAM/512GB SSD/Radeon R3 / Win 10 Pro),$301.35,from Germany
New ListingLaptop Asus X540Y AMD A8 4GB 1TB,$234.97,from Poland
New ListingVINTAGE HP PAVILLION DV7 LAPTOP/ PARTS OR REPAIR- POWERS AND LIGHTS UP-NO SCREEN,$9.99,from United States
"Dell Chromebook 11 3120 P22T001 11.6"" N2840 2.16GHz 4GB RAM 16GB SSD",$65.00,from United States
"Samsung Galaxy Chromebook go 14"" (64gb eMMC, Intel Celeron N, 2,80 GHz, 4gb) Lap",$164.08,from Italy
New ListingMicrosoft Surface Laptop 4 13.5” 256GB SSD/ 8GB Ram/ i5-1135G7 Model 1950+WRNTY,$700.00,from United States
New ListingAcer Travelmate 516T,$196.81,from Australia
New ListingHP Chromebook 11 G3 Wifi  w/AC Charger  Laptop Notebook.,$24.99,from United States
"New ListingLenovo ThinkPad i7 m7 12.5"" 8gb RAM 256gb-NEW",$979.00,from Italy
"New ListingDell Latitude E5500 15.4"" Core 2 Duo 2.0GHz 4GB RAM 250GB HDD WIFI WIN 10",$129.00,from United States
"New ListingLENOVO THINKPAD EDGE 15 15.6"" Intel Core i3 M370 2.40GH 4GB RAM 500GB HDD WEBCAM",$149.00,from United States
New Listinglaptop i7 16gb ram 500GB SSD and 2TB HDD (JUNK),$298.00,from United States
New ListingAcer Nitro 5 i5-11400H RTX3050 8GB|500GB LIKE NEW,$761.69,from Australia
"New ListingLenovo IdeaPad 1 Slim 11.6 "" HD Intel N4020, 4GB, 64GB SSD Win10 Blau Laptop Ein",$233.84,from United Kingdom
New ListingAcer - Chromebook 311 11.6HD Display MediaTek MT8183C Octa-Core 4GB L...,$179.95,from United States
New ListingBirthday Gift Hand Book Hand Notebook Voice Recorded Voice Recorded Notebook,$18.51,from China
Customize Your Panasonic Toughbook CF-53 Core i5 2.5GHz Business Rugged,"$538.00 to $1,368.00",from Canada
New Listing(Pink)Zerone 7 Tablet PC For Kids Eye Protection 1024 X 600P 1GB RAM+8GB ROM,$55.49,from China
"Medion Akoya S6211T 15"" TOUCH HD ~ 500GB SSHD ~ 4GB RAM Windows 10",$27.89,from Germany
New Listinghp pavilion,$125.00,from United States
"New ListingLot of 3 Dell Latitude E6400  Core 2 Duo  14"" 2.26GHz 4GB RAM 320GB HDD WIN 10",$299.00,from United States
New ListingLaptop razer blade 14 rz09-0195 laptop,$437.54,from France
"ASUS ROG Flow Z13 13.4"" GZ301ZE-LC032W 120Hz i9-12900H RTX 3050ti/ 1TB/16GB DDR5","$2,386.23","from Korea, South"
"New ListingDell Latitude E7480 Intel i7-7600U 2.80GHz 8GB,256 GB SSD, Windows 10 Pro 64bit",$299.00,from United States
New ListingLaptop Computer Medion Akoya P7612 MD97860 Windows 10 Pro 466GB 2x2.1GHz 4GB 64Bi,$109.39,from Germany
Lenovo ThinkPad X280 Laptop i5-8350U 1.7GHz 16GB 256GB SSD win 10P touchscreen,$320.00,from United States
"Dell Latitude E5430-14""-Intel Core i5@2.50 GHz-6GB-320GB-Windows 10 Pro-WebCam",$119.99,from United States
"2021 Dell Inspiron 15.6"" Laptop Intel Celeron N4020,Upto 2.8GHz 16GB RAM&1TB SSD",$359.00 to $579.00,from United States
Dell Latitude 5580 Intel Core i7-7820U 2.90GHZ  4GB RAM 120GB SSD WINDOWS 11 PRO,$280.00,from United States
"New ListingLenovo Ideapad S340 15.6"" Laptop, AMD Ryzen 5 3500U, 128GB SSD",$379.99,from United States
"New ListingDell XPS 15 9510 Laptop 15.6"" OLED Touch Intel i9-11900H 32GB Memory 1TB SSD","$2,199.00",from United States
"New ListingHP Laptop A6 15-db0015dx | 15"" AMD A6-9225 Radeon R4 2.6GHz 1TB Win 10 RAM 8GB",$224.99,from United States
"New ListingDell Latitude E5470, Intel Core i5-6440 HQ, 8GB RAM, No HDD #2191",$9.99,from United States
"New ListingDell Latitude E6430, INtel Core i7-2540M, 8GB RAM, No HDD #2190",$9.99,from United States
"New ListingHP EliteBook 850 G2 i7-5600U@2.60GHz,8GB RAM,256GB SSD WebCam",$399.99,from United States
"Samsung Galaxy Book Pro 360 15.6"", i7-1165G7, 2.80GHz, 16GB RAM, 1TB SSD, WIN 11",$999.99,from United States
"New Listing👍Acer Spin 3 Windows 10 Touchscreen Laptop 128GB SSD 4GB RAM N19W2,",$50.00,from United States
Panasonic Toughbook Touchscreen CF-31 Intel i5 MK1 No Caddy / Hard drive / Pen,$179.99,from United States
UMPC GPD POCKET X7−Z8750 model portable personal computer SILVER SSD,$317.00,from Japan
CHEAP LAPTOP HP FAST DUAL CORE 4GB RAM 500 GB HDD DVD RW WINDOWS 10,$131.29,from United Kingdom
"Samsung Chromebook Laptop 11.6"" Laptop Intel Dual-Core 16GB SSD Wifi Webcam Cool",$79.00,from United States
New Listing2X Dell Latitude D630  Intel Core  4GB/160GB HDD Windows 7 Pro .,$120.00,from United States
Acer Nitro 5 AN517-41-R6U1 Gaming ryzen 7 5800H RTX 3060 16GB RAM is 1TB SSD 144Hz,"$1,202.14",from Germany
New ListingDell Precision 7510 i7-6820HQ 2.70GHz 16GB 256+500GB Quadro Win10 UTS0053447,$250.00,from United States
New ListingLenovo ThinkPad 1st Gen X1 Yoga 14 Touch  i7-6600U 256GB SSD 16GB RAM Win 11 PRO,$275.00,from United States
"2021 Dell 14"" HD Laptop Intel i3-1005G1 (>i5-8250U),upto 3.4GHz 16GB RAM&1TB SSD",$399.00 to $609.00,from United States
New ListingDell Rugged E6420 XFR Core i5 @ 2.5GHZ  8GB 128 SSD WIN 10 PRO (Non-Touch),$339.99,from United States
